===== Mythica Affordance Library [2026-08-02] EA-only cleaned =====
affordance: 36620 (EA only, MOD lines removed)
列: 名字 | 模块 | super/auto/user 标志 | tgt=目标类型 | cat=菜单分类 | ages=年龄线索(test_globals) | src=EA | guid
用法: 桌面端 grep 本文件回答"能推什么交互/允许什么年龄"（如 grep -i 'friendly.*ages=' ）。
注意: ages 为尽力而为字段——'-' 表示 test_globals 无 Age 测试或读不到，不代表全年龄可用。
清理: 已移除全部 MOD 行 + test= 列(strip WW污染)。MOD 用户需自己在游戏内跑 ai_probe_affordances 获取完整列表。

APM_AngryWaitAtDoor | sims4.tuning.instances | super=Y auto=Y user=N | tgt=ACTOR | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=345377
APM_AskPlayedPOToVisitAndSwitchOutcome | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=357657
APM_AskPlayedPOToVisitOutcome | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=355638
APM_DeliverFineOutcome | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=349061
APM_DeliverRentDemandOutcome | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=349250
ActivityTable_Draw | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=12986
ActivityTable_Idle | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=12989
ActivityTable_MoveDrawingToInventory | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=CHILD | src=EA | guid=98988
ActivityTable_MoveDrawingToInventory_Adult | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=98990
ActivityTable_ScrapDrawing | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=CHILD | src=EA | guid=12991
ActivityTable_ScrapDrawing_Adult | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=10465
ActivityTable_ScrapDrawing_Child_Standing | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=CHILD | src=EA | guid=99788
ActivityTable_Shake | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=75250
ActorCareer_RabbitHoleInteraction_Auditions | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=ACTOR | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=197611
Add_To_World | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,TEEN,TODDLER,YOUNGADULT | src=EA | guid=12993
Add_To_World_OnLot | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,TEEN,TODDLER,YOUNGADULT | src=EA | guid=100449
AdoptPickedChild | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=ACTOR | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=40713
AdoptPickedChild_Free | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=ACTOR | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=132876
Adoption_LifeMoment_ReactionPositive | sims4.tuning.instances | super=Y auto=N user=N | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=76560
AdoreObjectMixers_Awe | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=189415
AdoreObjectMixers_Clap | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=189416
AdoreObjectMixers_FistPump | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=189418
AdoreObjectMixers_Idle | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=189419
AdoreObjectMixers_Inspired | sims4.tuning.instances | super=N auto=Y user=N | tgt=OBJECT | cat=- | ages=- | src=EA | guid=189417
AdventureBoard_ReadPreparationChecklist | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=179631
AgeUpInteraction | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=12999
AgeUpInteraction_BlowCandles | sims4.tuning.instances | super=Y auto=N user=Y | tgt=ACTOR | cat=- | ages=ADULT,CHILD,ELDER,INFANT,TEEN,TODDLER,YOUNGADULT | src=EA | guid=99386
Agents_SendHomeDummy | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=206276
AggregateSI_Vehicle_IslandCanoe_RideHere | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=229821
AggregateSI_Vehicle_WaterScooter_RideHere | sims4.tuning.instances | super=Y auto=N user=Y | tgt=OBJECT | cat=- | ages=ADULT,ELDER,TEEN,YOUNGADULT | src=EA | guid=229820
Alchemist_BBCKink_LeadSimFirstNameOn | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_BBCKink_bbckinkpiemenucategory | ages=- | src=EA | guid=3214731222
Alchemist_BBCKink_QoSSBSubmissiveComment | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_BBCKink_bbckinkpiemenucategory | ages=- | src=EA | guid=3803108924
Alchemist_BBCKink_TeaseSnowbunny | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_BBCKink_bbckinkpiemenucategory | ages=- | src=EA | guid=3294840858
Alchemist_BBCKink_ThirstyComment | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_BBCKink_bbckinkpiemenucategory | ages=- | src=EA | guid=2787233703
Alchemist_BBCKink_VerballyDegradeSnowbunny | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_BBCKink_bbckinkpiemenucategory | ages=- | src=EA | guid=3357173695
Alchemist_DaddyKink_AskDaddyForGuidance | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=3669890378
Alchemist_DaddyKink_BrattyComment | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=3307915125
Alchemist_DaddyKink_CallSimDaddy | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=3463620333
Alchemist_DaddyKink_Comfort1SimFirstName | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=2482121417
Alchemist_DaddyKink_GetDaddysAttention | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=3269674925
Alchemist_DaddyKink_GoodBoy | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=3596364319
Alchemist_DaddyKink_GoodGirl | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=4091071412
Alchemist_DaddyKink_PraiseSim | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=2588157929
Alchemist_DaddyKink_PunishSimFirstName | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=3656462903
Alchemist_DaddyKink_RewardSim | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=2539685822
Alchemist_DaddyKink_TalkToDaddyAboutFear | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=2708036334
Alchemist_DaddyKink_TellDaddyAboutSadMood | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_DaddyKink_DaddyKinkCategory | ages=- | src=EA | guid=4108635877
Alchemist_FartAndAssSniffingFetish_AdmitToFantasizingAboutSniffingSimAss | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_FartAndAssSniffingFetish_PieMe | ages=- | src=EA | guid=3892376192
Alchemist_FartAndAssSniffingFetish_FartOutSomeGass | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_FartAndAssSniffingFetish_PieMe | ages=- | src=EA | guid=3373517486
Alchemist_FartAndAssSniffingFetish_SneakOutASilentFart | sims4.tuning.instances | super=Y auto=Y user=Y | tgt=GROUP | cat=Alchemist_FartAndAssSniffingFetish_PieMe | ages=- | src=EA | guid=3390610108
Alchemist_FartAndAssSniffingFetish_VentAboutGasIssues | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=sim_SubCat_Friendly_SmallTalk | ages=- | src=EA | guid=3537442342
Alchemist_FootFetish_DegradeInteraction | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3598149527
Alchemist_FootFetish_HumiliateInteraction | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=4041417185
Alchemist_FootFetish_SubmitToSimFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3916207932
Alchemist_IndepthFootFetish_AdmitToRecentlyFantasizingAboutFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3050937895
Alchemist_IndepthFootFetish_BragAboutPrettyFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3674772367
Alchemist_IndepthFootFetish_BringUpFeetToWinArgument | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=sim_SubCat_Mean_Arguments | ages=- | src=EA | guid=2504306195
Alchemist_IndepthFootFetish_ComplimentFootSize | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=2775568619
Alchemist_IndepthFootFetish_ComplimentPrettyFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3319219392
Alchemist_IndepthFootFetish_ConfessLoveForFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=2871177098
Alchemist_IndepthFootFetish_OrderFootSlutToPlease | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=2866640787
Alchemist_IndepthFootFetish_RemindFootslutOfTheirPlace | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3313494003
Alchemist_IndepthFootFetish_TalkAboutFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3833943361
Alchemist_IndepthFootFetish_TeaseSimAboutStinkyFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3975664538
Alchemist_IndepthFootFetish_VentAbStinkyFeet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=2870614616
Alchemist_IndepthFootFetish_VentAboutStinkyFeet | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist:PhoneFootFetishPieCategory | ages=- | src=EA | guid=3180824884
Alchemist_IndepthFootFetish_YoureSuchanObsessedFootFreak | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=sim_SubCat_Mean_Malicious | ages=- | src=EA | guid=4218873093
Alchemist_IndepthFootFetish_YouresoPathetic | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=sim_SubCat_Mean_Malicious | ages=- | src=EA | guid=2652615642
Alchemist_KinkyExpansions_GivePraise | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=4276975080
Alchemist_MommyKink_CallSimMommy | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_MommyKink_PieMenuCategory | ages=- | src=EA | guid=3026450447
Alchemist_MommyKink_GetMommysAttention | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_MommyKink_PieMenuCategory | ages=- | src=EA | guid=2790559783
Alchemist_MommyKink_Praise | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_MommyKink_PieMenuCategory | ages=- | src=EA | guid=3307233771
Alchemist_MommyKink_RemindSim | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_MommyKink_PieMenuCategory | ages=- | src=EA | guid=3044667181
Alchemist_MommyKink_TeaseSim | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_MommyKink_PieMenuCategory | ages=- | src=EA | guid=3046074072
Alchemist_NastyTalk_AdmitToBeingWet | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=2755045270
Alchemist_NastyTalk_BegForCock | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=3052421301
Alchemist_NastyTalk_BegSimToUseYou | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=2409042908
Alchemist_NastyTalk_BreedingDirtyTalk | sims4.tuning.instances | super=N auto=N user=Y | tgt=TARGET | cat=Alchemist_BreedingKink_Category | ages=- | src=EA | guid=2203961662
Alchemist_NastyTalk_BringUpKinkySubject | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=3723024259
Alchemist_NastyTalk_ComplimentBooty | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=3283193799
Alchemist_NastyTalk_ComplimentSexyBody | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=2724661663
Alchemist_NastyTalk_ComplimentSmell | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=sim_SubCat_Romantic_Flirtation | ages=- | src=EA | guid=3358134559
Alchemist_NastyTalk_GiveSluttyCompliment | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=2896274898
Alchemist_NastyTalk_HornyRemark | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=Alchemist_NastyTalk_NastyTalk | ages=- | src=EA | guid=4194746995
Alchemist_NastyTalk_KinkShameSim | sims4.tuning.instances | super=N auto=Y user=Y | tgt=TARGET | cat=sim_SubCat_Mean_Malicious | ages=- | src=EA | guid=3695594677
